date,volume,area,solar_exposure,rainfall,max_temperature,min_temperature,humidity,wind_speed
199001,191934441438.61,142230208.33,22.1,22.8,23.81,9.7,37,1.64
199002,186337780373.32,141764479.17,19.4,83.3,23.82,9.71,40,1.26
199003,180741119308.03,141298750,16.3,17.6,23.84,9.71,42,1.39
199004,181468639586.96,141408875,10.2,159.2,23.85,9.72,46,1.39
199005,182196159865.89,141519000,9.1,69.6,23.86,9.72,54,0.94
199006,182923680144.82,141629125,7.6,19.6,23.88,9.72,60,1.2
199007,183651200423.75,141739250,7.9,61.7,23.89,9.73,58,1.45
199008,184378720702.68,141849375,10,82.6,23.9,9.73,52,1.7
199009,211144935249.52,143894375,15.6,23.6,23.91,9.74,49,1.32
199010,210875262098.08,143877500,20.9,62.4,23.93,9.74,47,1.45
199011,201554986856.91,143300937.5,28.1,17.6,23.94,9.75,41,1.45
199012,192234711615.75,142724375,27.8,30.8,23.95,9.75,37,1.64
199101,201410162386.7,143291875,25.5,64.3,23.96,9.75,37,1.57
199102,210585613157.65,143859375,23.4,26.4,23.98,9.76,40,1.39
199103,186808489216.27,142159375,21.6,27.2,23.99,9.76,42,1.32
199104,168528342749.93,139055625,15,28,24,9.77,46,1.07
199105,180458444396.9,140345156.25,10.8,29.9,24.01,9.77,54,0.82
199106,192388546043.87,141634687.5,6.3,121.8,24.03,9.78,60,1.26
199107,204318647690.83,142924218.75,8.8,128.4,24.04,9.78,58,1.2
199108,216248749337.8,144213750,11.4,104.3,24.05,9.78,52,1.89
199109,216448507227.75,144226250,15.5,67.4,24.06,9.79,49,1.7
199110,208488155313.15,143728125,22.9,18,24.08,9.79,47,1.32
199111,200527803398.55,143230000,25.9,35.6,24.09,9.8,41,1.51
199112,217137671948.09,144269375,23,46.5,24.1,9.8,37,1.7
199201,210256012639.23,143838750,26.1,150,26.9,15.8,37,1.39
199202,210076230538.27,143827500,18.8,58.3,24.6,15.4,40,1.39
199203,209896448437.31,143816250,17.8,38,22.7,10.5,42,1.01
199204,208268421634.2,143714375,12.9,32.7,19.5,7,46,1.07
199205,194016975278.52,142831875,10,30.4,17,3.7,54,0.82
199206,121370736407.95,129574375,7.9,39.9,14,0.7,60,0.94
199207,181342387135.28,141407500,9.1,14.2,13.8,1.4,58,1.13
199208,179190812505.38,141015937.5,11.6,87,13.9,1,52,1.45
199209,177039237875.49,140624375,14.4,86.5,15.6,3.6,49,1.39
199210,174887663245.59,140232812.5,17.4,74.4,18.9,8.3,47,1.45
199211,172736088615.7,139841250,21.3,91.4,19.9,9.4,41,1.32
199212,171868167430.69,139471145.83,23.1,76.8,22.7,12.3,37,1.32
199301,171000246245.68,139101041.67,23.7,105.8,26.7,13.8,37,1.26
199302,170132325060.67,138730937.5,20.8,30,24.5,12.3,40,1.45
199303,173481989449.61,139553125,16.1,109,20.5,9.9,42,1.26
199304,176831653838.56,140375312.5,14.1,12.2,20.4,4.7,46,1.01
199305,180181318227.5,141197500,10.5,19.8,16.6,0.8,54,0.82
199306,170478647432.7,139310833.33,8.5,21.2,12,-1.1,60,1.07
199307,160775976637.9,137424166.67,8,130,13,1,58,0.88
199308,151073305843.09,135537500,10.4,19.6,14,0,52,1.2
199309,136740765191.43,132614375,14.3,91.6,15.7,3.2,49,1.39
199310,210300958164.47,143841562.5,20,64.6,17.5,5.5,47,1.39
199311,166091653699.64,136719062.5,23.9,96.6,21.1,6.3,41,1.32
199312,176124306122.97,139397656.25,22.4,21,24.1,10.7,37,1.64
199401,186156958546.29,142076250,28.1,34.9,28,9.8,37,1.64
199402,180754941556.94,141301250,20,84.8,27.1,12.4,40,1.39
199403,180119118107.44,141186250,17,26.8,19.9,7.4,42,1.13
199404,179483294657.94,141071250,12.3,95.6,19.4,5.3,46,1.13
199405,177181890215.74,140655000,9.7,5.2,14.1,2.7,54,1.2
199406,176245432852.63,140485625,7.2,38.4,11.1,0.1,60,1.01
199407,175308975489.51,140316250,10.1,0,12.4,-3.2,58,1.01
199408,156281695344.12,136528750,14.7,16.8,13.1,-2.5,52,1.13
199409,170510033722.51,139425625,17.6,3.6,16.5,-0.7,49,1.64
199410,167093482666.36,138772812.5,20.1,51.3,19,3.7,47,1.57
199411,163676931610.21,138120000,21.9,65.4,22.4,8.4,41,2.02
199412,160941255668,137581875,27.6,57.2,26.5,11.1,37,1.64
199501,148767329794.25,135105625,21.2,220.8,26.7,13.3,37,1.64
199502,144090640087.18,134158125,23.8,12.9,25.5,10.8,40,1.39
199503,139413950380.11,133210625,18.2,54.07,21.4,8.9,42,1.51
199504,134737260673.04,132263125,15,95.23,18.1,3.7,46,1.32
199505,130060570965.97,131315625,7.6,136.4,15.4,7.5,54,1.13
199506,125383881258.9,130368125,6.4,6.5,11.7,2.9,60,1.39
199507,122966514478.6,129890000,8.4,9.85,10.3,-0.2,58,1.39
199508,120549147698.3,129411875,14,13.2,15.9,0.8,52,1.2
199509,118131780918.01,128933750,14.4,34.9,15,3.6,49,1.26
199510,119032368542.04,129111875,19.2,94.7,17.8,7,47,1.39
199511,118876477350.98,129081041.67,19.9,81,20.7,9.4,41,1.64
199512,118720586159.92,129050208.33,27.6,75.8,21.8,9.4,37,1.51
199601,118564694968.86,129019375,22.8,85.8,23.2,12.5,37,1.45
199602,122019790781.74,129705267.86,22.2,22.4,21.9,8.7,40,1.57
199603,125474886594.61,130391160.71,19.1,19.6,22.8,8.9,42,1.26
199604,128929982407.49,131077053.57,13.3,0,17.9,4.6,46,1.07
199605,132385078220.37,131762946.43,9.8,56.6,16,4.3,54,1.01
199606,135840174033.25,132448839.29,8,30.2,12.9,1.6,60,1.07
199607,139295269846.13,133134732.14,7.8,89.5,10.8,0.1,58,1.13
199608,142750365659.01,133820625,11.7,33.1,12.4,1.9,52,1.39
199609,111092407586.77,126485625,17.7,112,15.3,3.8,49,1.83
199610,158782264027.19,137157187.5,21,52.6,18.2,6.8,47,1.32
199611,141868742180.95,133641250,24.2,80,19.2,6.4,41,1.64
199612,138573540005.25,132976875,25.3,74.9,23.2,9,37,1.51
